CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
15,C,2010,0.688,11
15,C,2011,0.7,11
15,C,2012,0.667,11
15,C,2013,0.435,11
15,C,2014,0.667,11
15,C,2015,0.606,11
15,C,2016,0.607,11
15,C,2017,0.667,11
15,C,2018,0.25,11
15,C,2019,0.217,11
16,C,2008,0.773,11
16,C,2009,0.483,11
16,C,2010,0.688,11
16,C,2011,0.833,11
16,C,2012,0.9,11
16,C,2013,0.87,11
16,C,2014,0.815,11
16,C,2015,0.727,11
16,C,2016,0.571,11
16,C,2017,0.63,11
16,C,2018,0.643,11
16,C,2019,0.261,11
17,C,2008,0.955,11
17,C,2009,1,11
17,C,2010,1,11
17,C,2011,1,11
17,C,2012,1,11
17,C,2013,1,11
17,C,2014,1,11
17,C,2015,0.939,11
17,C,2016,0.964,11
17,C,2017,1,11
17,C,2018,1,11
17,C,2019,1,11
0,C,2008,0.491,2
0,C,2009,0.545,2
0,C,2010,0.6,2
0,C,2011,0.651,2
0,C,2012,0.635,2
0,C,2013,0.607,2
0,C,2014,0.583,2
0,C,2015,0.525,2
0,C,2016,0.527,2
0,C,2017,0.394,2
0,C,2018,0.351,2
0,C,2019,0.383,2
1,C,2008,0.295,2
1,C,2009,0.433,2
1,C,2010,0.407,2
1,C,2011,0.514,2
1,C,2012,0.523,2
1,C,2013,0.527,2
1,C,2014,0.473,2
1,C,2015,0.409,2
1,C,2016,0.379,2
1,C,2017,0.291,2
1,C,2018,0.216,2
1,C,2019,0.311,2
2,C,2008,0.145,2
2,C,2009,0.315,2
2,C,2010,0.367,2
2,C,2011,0.335,2
2,C,2012,0.303,2
2,C,2013,0.23,2
2,C,2014,0.338,2
2,C,2015,0.266,2
2,C,2016,0.238,2
2,C,2017,0.221,2
2,C,2018,0.339,2
2,C,2019,0.447,2
3,C,2008,0.213,2
3,C,2009,0.185,2
3,C,2010,0.256,2
3,C,2011,0.392,2
3,C,2012,0.428,2
3,C,2013,0.323,2
3,C,2014,0.378,2
3,C,2015,0.418,2
3,C,2016,0.165,2
3,C,2017,0.237,2
3,C,2018,0.207,2
3,C,2019,0.375,2
4,C,2008,0,2
4,C,2009,0.131,2
4,C,2010,0.255,2
4,C,2011,0.399,2
4,C,2012,0.46,2
4,C,2013,0.392,2
4,C,2014,0.352,2
4,C,2015,0.363,2
4,C,2016,0.195,2
4,C,2017,0.183,2
4,C,2018,0.165,2
4,C,2019,0.183,2
5,C,2008,0.633,2
5,C,2009,0.571,2
5,C,2010,0.506,2
