CODE,GUBUN,YEAR,DETAIL_INDEX,INDICATOR
15,I,2018,1,20
15,I,2019,1,20
16,I,2009,1,20
16,I,2010,1,20
16,I,2011,1,20
16,I,2012,1,20
16,I,2013,1,20
16,I,2014,1,20
16,I,2015,1,20
16,I,2016,1,20
16,I,2017,1,20
16,I,2018,1,20
16,I,2019,1,20
17,I,2009,0.998,20
17,I,2010,0.997,20
17,I,2011,0.992,20
17,I,2012,0.998,20
17,I,2013,0.998,20
17,I,2014,0.999,20
17,I,2015,0.999,20
17,I,2016,0.999,20
17,I,2017,0.999,20
17,I,2018,1,20
17,I,2019,0.999,20
18,I,2009,0.997,20
18,I,2010,0.998,20
18,I,2011,0.998,20
18,I,2012,0.998,20
18,I,2013,0.998,20
18,I,2014,0.999,20
18,I,2015,0.999,20
18,I,2016,0.999,20
18,I,2017,0.999,20
18,I,2018,0.999,20
18,I,2019,0.998,20
0,I,2009,0.316,21
0,I,2010,0.338,21
0,I,2011,0.225,21
0,I,2012,0.276,21
0,I,2013,0.234,21
0,I,2014,0.362,21
0,I,2015,0.315,21
0,I,2016,0.36,21
0,I,2017,0.33,21
0,I,2018,0.299,21
0,I,2019,0.28,21
0,I,2020,0.352,21
1,I,2009,0.187,21
1,I,2010,0.086,21
1,I,2011,0.123,21
1,I,2012,0.162,21
1,I,2013,0.219,21
1,I,2014,0.441,21
1,I,2015,0.415,21
1,I,2016,0.462,21
1,I,2017,0.547,21
1,I,2018,0.497,21
1,I,2019,0.497,21
1,I,2020,0.311,21
2,I,2009,0.326,21
2,I,2010,0.317,21
2,I,2011,0.159,21
2,I,2012,0.224,21
2,I,2013,0.213,21
2,I,2014,0.335,21
2,I,2015,0.473,21
2,I,2016,0.499,21
2,I,2017,0.477,21
2,I,2018,0.408,21
2,I,2019,0.457,21
2,I,2020,0.447,21
3,I,2009,0.191,21
3,I,2010,0.259,21
3,I,2011,0.13,21
3,I,2012,0.197,21
3,I,2013,0.164,21
3,I,2014,0.474,21
3,I,2015,0.364,21
3,I,2016,0.42,21
3,I,2017,0.383,21
3,I,2018,0.379,21
3,I,2019,0.332,21
3,I,2020,0.418,21
4,I,2009,0,21
4,I,2010,0.034,21
4,I,2011,0.062,21
4,I,2012,0.276,21
4,I,2013,0.252,21
4,I,2014,0.365,21
4,I,2015,0.407,21
4,I,2016,0.415,21
4,I,2017,0.538,21
4,I,2018,0.414,21
4,I,2019,0.466,21
4,I,2020,0.528,21
5,I,2009,0.464,21
5,I,2010,0.424,21
5,I,2011,0.337,21
5,I,2012,0.293,21
5,I,2013,0.313,21
5,I,2014,0.562,21
5,I,2015,0.605,21
5,I,2016,0.569,21
5,I,2017,0.635,21
5,I,2018,0.529,21
5,I,2019,0.491,21
5,I,2020,0.664,21
6,I,2009,0.391,21
6,I,2010,0.345,21
6,I,2011,0.207,21
6,I,2012,0.376,21
6,I,2013,0.365,21
6,I,2014,0.476,21
6,I,2015,0.55,21
6,I,2016,0.527,21
6,I,2017,0.48,21
6,I,2018,0.503,21
6,I,2019,0.494,21
6,I,2020,0.535,21
7,I,2009,0.309,21
7,I,2010,0.266,21
7,I,2011,0.21,21
7,I,2012,0.255,21
7,I,2013,0.231,21
7,I,2014,0.359,21
7,I,2015,0.338,21
7,I,2016,0.413,21
7,I,2017,0.389,21
7,I,2018,0.356,21
7,I,2019,0.329,21
7,I,2020,0.381,21
8,I,2009,1,21
8,I,2010,1,21
8,I,2011,1,21
8,I,2012,1,21
8,I,2013,1,21
8,I,2014,1,21
8,I,2015,1,21
8,I,2016,1,21
8,I,2017,1,21
8,I,2018,1,21
8,I,2019,1,21
8,I,2020,1,21
9,I,2009,0.53,21
9,I,2010,0.528,21
9,I,2011,0.471,21
9,I,2012,0.586,21
9,I,2013,0.523,21
9,I,2014,0.682,21
9,I,2015,0.685,21
9,I,2016,0.742,21
9,I,2017,0.737,21
9,I,2018,0.753,21
9,I,2019,0.765,21
9,I,2020,0.767,21
10,I,2009,0.316,21
10,I,2010,0.376,21
10,I,2011,0.391,21
10,I,2012,0.434,21
10,I,2013,0.389,21
10,I,2014,0.482,21
10,I,2015,0.424,21
10,I,2016,0.47,21
10,I,2017,0.474,21
10,I,2018,0.434,21
10,I,2019,0.491,21
10,I,2020,0.557,21
11,I,2009,0.23,21
11,I,2010,0.29,21
11,I,2011,0.228,21
11,I,2012,0.331,21
11,I,2013,0.264,21
11,I,2014,0.385,21
11,I,2015,0.367,21
11,I,2016,0.407,21
11,I,2017,0.433,21
11,I,2018,0.443,21
11,I,2019,0.421,21
11,I,2020,0.541,21
12,I,2009,0.513,21
12,I,2010,0.507,21
12,I,2011,0.348,21
12,I,2012,0.424,21
12,I,2013,0.377,21
12,I,2014,0.365,21
12,I,2015,0.307,21
12,I,2016,0.366,21
12,I,2017,0.433,21
12,I,2018,0.454,21
12,I,2019,0.421,21
12,I,2020,0.399,21
13,I,2009,0.276,21
13,I,2010,0.334,21
13,I,2011,0.167,21
13,I,2012,0.31,21
13,I,2013,0.258,21
13,I,2014,0.424,21
13,I,2015,0.401,21
13,I,2016,0.42,21
13,I,2017,0.436,21
13,I,2018,0.388,21
13,I,2019,0.338,21
13,I,2020,0.362,21
14,I,2009,0.197,21
14,I,2010,0.355,21
14,I,2011,0.391,21
14,I,2012,0.497,21
14,I,2013,0.444,21
14,I,2014,0.409,21
14,I,2015,0.341,21
14,I,2016,0.397,21
14,I,2017,0.368,21
14,I,2018,0.259,21
14,I,2019,0.311,21
14,I,2020,0.469,21
15,I,2009,0.013,21
15,I,2010,0,21
15,I,2011,0.033,21
15,I,2012,0.145,21
15,I,2013,0.109,21
15,I,2014,0.241,21
15,I,2015,0.189,21
15,I,2016,0.274,21
15,I,2017,0.292,21
15,I,2018,0.244,21
15,I,2019,0.131,21
15,I,2020,0.321,21
16,I,2009,0.118,21
16,I,2010,0.086,21
16,I,2011,0,21
16,I,2012,0,21
16,I,2013,0,21
16,I,2014,0.121,21
16,I,2015,0.08,21
16,I,2016,0.094,21
16,I,2017,0,21
16,I,2018,0,21
16,I,2019,0,21
16,I,2020,0,21
17,I,2009,0.27,21
17,I,2010,0.286,21
17,I,2011,0.283,21
17,I,2012,0.379,21
17,I,2013,0.283,21
